epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,95.4226,0.71774,0.67705,0.83019,0.99744,0.96696,0.99416,0.83298,0.60721,0.50979,0.83157,0.000379743,0.000379743,0.000379743
158,95.9632,0.70497,0.67709,0.84741,0.98638,0.96919,0.99307,0.82518,0.61065,0.51989,0.83014,0.000371491,0.000371491,0.000371491
159,96.5096,0.7186,0.68603,0.83786,0.9988,0.95993,0.99378,0.83575,0.60239,0.51144,0.82844,0.000363239,0.000363239,0.000363239
160,97.0804,0.71342,0.72874,0.83097,0.99062,0.95986,0.99354,0.83646,0.60093,0.50058,0.82839,0.000354988,0.000354988,0.000354988
161,97.6095,0.7126,0.6834,0.84385,0.99062,0.95986,0.99354,0.83646,0.60093,0.50058,0.82839,0.000346736,0.000346736,0.000346736
162,98.1715,0.81634,0.68295,0.84644,0.97868,0.9723,0.99292,0.84283,0.60582,0.49821,0.83057,0.000338484,0.000338484,0.000338484
163,98.7641,0.74794,0.64425,0.8352,0.99653,0.97219,0.99431,0.8442,0.60089,0.49897,0.83213,0.000330233,0.000330233,0.000330233
164,99.3567,0.82794,0.72141,0.85785,0.99987,0.97537,0.99431,0.84943,0.59036,0.49359,0.83093,0.000321981,0.000321981,0.000321981
165,99.9236,0.67159,0.6515,0.83649,0.99987,0.97537,0.99431,0.84943,0.59036,0.49359,0.83093,0.000313729,0.000313729,0.000313729
166,100.509,0.70008,0.65408,0.84291,0.99686,0.97384,0.99431,0.8445,0.59371,0.49749,0.8324,0.000305478,0.000305478,0.000305478
167,101.066,0.6939,0.62909,0.8419,0.99682,0.97193,0.99438,0.85479,0.60056,0.5011,0.83181,0.000297226,0.000297226,0.000297226
168,101.658,0.76103,0.70332,0.84283,0.99669,0.97124,0.99446,0.84974,0.60656,0.50475,0.83217,0.000288974,0.000288974,0.000288974
169,102.218,0.79094,0.68217,0.87152,0.99669,0.97124,0.99446,0.84974,0.60656,0.50475,0.83217,0.000280723,0.000280723,0.000280723
170,102.803,0.66921,0.70108,0.81315,0.9759,0.99548,0.99455,0.84715,0.60038,0.5136,0.83127,0.000272471,0.000272471,0.000272471
171,103.381,0.69023,0.65218,0.84251,0.98148,0.99794,0.99455,0.85048,0.586,0.50438,0.829,0.00026422,0.00026422,0.00026422
172,103.956,0.66993,0.65647,0.84014,0.9828,0.99919,0.99455,0.85771,0.57443,0.49484,0.82657,0.000255968,0.000255968,0.000255968
